Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 22 2013,Michigan State,49,Wisconsin,47,,
Wed Jan 23 2013,Penn State,49,Indiana,72,,
Wed Jan 23 2013,Minnesota,48,Northwestern,55,,
Thu Jan 24 2013,Purdue,53,Michigan,68,,
Sat Jan 26 2013,Northwestern,49,Nebraska,64,,
Sat Jan 26 2013,Ohio State,65,Penn State,51,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 26 2013,Minnesota,44,Wisconsin,45,,
Sun Jan 27 2013,Michigan,74,Illinois,60,,
Sun Jan 27 2013,Michigan State,70,Indiana,75,,
Sun Jan 27 2013,Iowa,62,Purdue,65,OT,
Tue Jan 29 2013,Nebraska,65,Minnesota,84,,
Tue Jan 29 2013,Wisconsin,49,Ohio State,58,,
Wed Jan 30 2013,Northwestern,46,Michigan,68,,
Wed Jan 30 2013,Indiana,97,Purdue,60,,
Thu Jan 31 2013,Penn State,67,Iowa,76,,
Thu Jan 31 2013,Illinois,75,Michigan State,80,,
Sat Feb 2 2013,Michigan,73,Indiana,81,,
Sat Feb 2 2013,Ohio State,63,Nebraska,56,,
Sat Feb 2 2013,Purdue,60,Northwestern,75,,
Sun Feb 3 2013,Wisconsin,74,Illinois,68,,
Sun Feb 3 2013,Iowa,59,Minnesota,62,,
Tue Feb 5 2013,Ohio State,74,Michigan,76,OT,
Tue Feb 5 2013,Purdue,58,Penn State,49,,
Wed Feb 6 2013,Minnesota,50,Michigan State,61,,
Wed Feb 6 2013,Iowa,70,Wisconsin,74,2OT,
Thu Feb 7 2013,Indiana,72,Illinois,74,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 9 2013,Northwestern,57,Iowa,71,,
Sat Feb 9 2013,Penn State,53,Nebraska,67,,
Sat Feb 9 2013,Michigan State,78,Purdue,65,,
Sat Feb 9 2013,Michigan,62,Wisconsin,65,OT,
Sun Feb 10 2013,Illinois,57,Minnesota,53,,
Sun Feb 10 2013,Indiana,81,Ohio State,68,,
Tue Feb 12 2013,Michigan,52,Michigan State,75,,
Wed Feb 13 2013,Purdue,59,Illinois,79,,
Wed Feb 13 2013,Nebraska,47,Indiana,76,,
Thu Feb 14 2013,Wisconsin,53,Minnesota,58,OT,
Thu Feb 14 2013,Northwestern,59,Ohio State,69,,
Thu Feb 14 2013,Iowa,74,Penn State,72,,
Sat Feb 16 2013,Purdue,55,Indiana,83,,
Sat Feb 16 2013,Michigan State,73,Nebraska,64,,
Sun Feb 17 2013,Minnesota,51,Iowa,72,,
Sun Feb 17 2013,Penn State,71,Michigan,79,,
